PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
3827,55565,147.19,-0.00,v5_7_0,v5_7_0,good,22.0,542,118,115,145,80,boss,boss,boss4,10193,DR9
3828,55539,149.02,-0.00,v5_7_0,v5_7_0,good,36.1,599,108,148,57,88,boss,boss,boss4,10195,DR9
3829,55300,151.04,-0.00,v5_7_0,v5_7_0,good,23.3,575,105,135,88,97,boss,boss,boss4,10197,DR9
3830,55574,152.99,-0.00,v5_7_0,v5_7_0,good,12.9,536,106,117,147,94,boss,boss,boss4,10199,DR9
3831,55543,154.97,-0.00,v5_7_0,v5_7_0,good,21.7,533,134,119,114,100,boss,boss,boss4,10201,DR9
3832,55289,157.02,-0.00,v5_7_0,v5_7_0,good,20.2,552,117,132,103,96,boss,boss,boss4,10203,DR9
3833,55290,159.12,-0.00,v5_7_0,v5_7_0,good,23.6,523,118,155,91,113,boss,boss,boss4,10204,DR9
3834,56014,161.04,0.00,v5_7_0,v5_7_0,good,22.4,581,99,149,91,80,boss,boss,boss4,10159,DR10
3834,55569,161.04,0.00,v5_7_0,v5_7_0,good,9.2,509,98,90,223,80,boss,boss,boss4,10159,DR9
3835,55570,162.87,0.00,v5_7_0,v5_7_0,good,19.3,530,137,130,123,80,boss,boss,boss4,10169,DR9
3836,55302,165.16,0.00,v5_7_0,v5_7_0,good,21.4,496,120,187,95,102,boss,boss,boss4,10168,DR9
3837,55572,167.28,0.00,v5_7_0,v5_7_0,good,16.9,553,101,124,142,80,boss,boss,boss4,10167,DR9
3838,55588,169.39,0.00,v5_7_0,v5_7_0,good,11.7,511,105,129,164,91,boss,boss,boss4,10166,DR9
3839,55575,171.27,0.00,v5_7_0,v5_7_0,good,15.0,522,97,165,136,80,boss,boss,boss4,10165,DR9
3840,55574,173.33,0.00,v5_7_0,v5_7_0,good,20.2,467,104,219,109,101,boss,boss,boss4,10164,DR9
3841,56016,175.42,0.00,v5_7_0,v5_7_0,good,16.7,539,117,132,132,80,boss,boss,boss4,10163,DR10
3841,55572,175.42,0.00,v5_7_0,v5_7_0,good,9.7,505,112,108,195,80,boss,boss,boss4,10163,DR9
3842,55565,177.24,0.00,v5_7_0,v5_7_0,good,22.3,561,123,127,109,80,boss,boss,boss4,10162,DR9
3843,55278,178.85,0.00,v5_7_0,v5_7_0,good,12.5,489,99,135,197,80,boss,boss,boss4,10161,DR9
3844,55321,180.83,0.00,v5_7_0,v5_7_0,good,14.7,521,106,177,116,80,boss,boss,boss4,10160,DR9
3845,55323,182.67,-0.00,v5_7_0,v5_7_0,good,13.9,521,115,146,138,80,boss,boss,boss4,10206,DR9
3846,55327,184.78,-0.00,v5_7_0,v5_7_0,good,13.8,465,127,154,174,80,boss,boss,boss4,10208,DR9
3847,55588,186.79,-0.00,v5_7_0,v5_7_0,good,15.4,513,124,116,167,80,boss,boss,boss4,10210,DR9
3848,55647,189.04,-0.00,v5_7_0,v5_7_0,good,11.6,479,118,128,195,80,boss,boss,boss4,10212,DR9
